"","Year","LifeExpectancy","Alcohol","TotalExpenditure","HepatitisB","Measles","Polio","BMI","HIV/AIDS","GDP","Schooling","HDI_Income"
"29",2003,72.8,4.29,97,8,47.9,97,6.27,0.1,189.681557,0.674,10.7
"30",2002,73.3,3.73,96,16,46.9,98,6.3,0.1,1453.642777,0.67,10.7
"31",2001,73.6,4.25,96,18,46,97,6,0.1,1326.97339,0.662,10.6
"32",2000,72.6,3.66,96,662,45,97,6.26,0.1,1175.788981,0.656,10.7
"33",2015,75.6,NA,95,63,59.5,95,NA,0.1,4132.76292,0.743,14.4
"34",2014,75.4,0.01,95,0,58.4,95,7.21,0.1,547.8517,0.741,14.4
"35",2013,75.3,0.53,95,25,57.2,95,7.12,0.1,5471.866766,0.737,14.4
"36",2012,75.1,0.66,95,18,56.1,95,6.14,0.1,5564.82566,0.732,14.4
"37",2011,74.9,0.56,95,112,55,95,5.29,0.1,5432.2523,0.724,14
"38",2010,74.7,0.45,95,103,53.9,95,5.12,0.1,4463.394675,0.714,13.6
"39",2009,74.4,0.5,94,107,52.8,94,5.36,0.1,3868.83123,0.705,13.1
"40",2008,74.1,0.46,91,217,51.8,92,4.2,0.1,495.254866,0.697,12.6
"41",2007,73.8,0.44,9,0,5.8,95,3.82,0.1,3935.183343,0.69,12.3
"42",2006,73.4,0.36,8,944,49.8,95,3.36,0.1,3464.6179,0.686,12.3
"43",2005,72.9,0.5,83,2302,48.9,88,3.24,0.1,31.122378,0.68,12
"44",2004,72.3,0.45,81,3289,47.9,86,3.54,0.1,2598.9823,0.673,11.7
"45",2003,71.7,0.34,NA,15374,47,87,3.6,0.1,294.33556,0.663,11.5
"46",2002,71.6,0.36,NA,5862,46.1,86,3.73,0.1,1774.33673,0.653,11.1
"47",2001,71.4,0.23,NA,2686,45.3,89,3.84,0.1,1732.857979,0.644,10.9
"48",2000,71.3,0.25,NA,0,44.4,86,3.49,0.1,1757.17797,0.636,10.7
"49",2015,52.4,NA,64,118,23.3,7,NA,1.9,3695.793748,0.531,11.4
"50",2014,51.7,8.33,64,11699,22.7,68,3.31,2,479.31224,0.527,11.4
"51",2013,51.1,8.1,77,8523,22.1,67,4.26,2.3,484.616884,0.523,11.4
"52",2012,56,8.24,75,4458,21.5,75,3.3,2.6,4598.249988,0.508,10.3
"53",2011,51,8.06,72,1449,21,73,3.38,2.5,4299.12889,0.495,9.4
"54",2010,49.6,7.8,77,1190,2.4,81,3.39,2.5,3529.53482,0.488,9
"55",2009,49.1,7.01,61,2807,19.8,63,4.37,2.5,3347.84485,0.48,8.5
"56",2008,48.7,7.07,69,265,19.3,65,3.84,2.6,3868.578883,0.468,8.1
"57",2007,48.2,6.35,73,1014,18.8,75,3.38,2.6,2878.837144,0.454,7.7
"58",2006,47.7,5.84,NA,765,18.2,36,4.54,2.5,262.415149,0.439,7.2
"59",2005,47.4,5.04,NA,258,17.7,39,4.1,2.6,1443.991929,0.426,6.8
"60",2004,47.1,3.53,NA,29,17.2,4,4.71,2.5,141.86844,0.415,6.4
"61",2003,46.8,3.49,NA,1196,16.8,4,4.41,2.4,779.468356,0.406,5.9
"62",2002,46.5,2.82,NA,11945,16.3,37,3.63,2.3,711.181716,0.401,5.5
"63",2001,45.7,2.58,NA,9046,15.8,41,5.38,2.1,526.168743,0.391,5.1
"64",2000,45.3,1.85,NA,2219,15.4,3,2.79,2,555.2969419,0.382,4.6
"65",2015,76.4,NA,99,0,47.7,86,NA,0.2,13566.9541,0.784,13.9
"66",2014,76.2,8.56,99,0,47,96,5.54,0.2,12888.29667,0.782,13.9
"67",2013,76.1,8.58,99,0,46.4,98,5.33,0.2,12224.86416,0.781,13.9
"68",2012,75.9,8.18,98,0,45.7,97,5.39,0.2,12565.44197,0.778,13.8
"69",2011,75.7,7.84,99,0,45.1,99,5.65,0.1,11929.34991,0.782,14.1
"70",2010,75.6,7.84,98,0,44.4,99,5.63,0.1,12126.87614,0.783,14.1
"71",2009,75.4,7.82,98,0,43.8,98,4.86,0.1,1312.46692,0.788,14.2
"72",2008,75.2,8.27,98,0,43.2,99,4.69,0.1,1473.31923,0.786,14.4
"73",2007,75,8.64,97,0,42.6,98,4.27,0.1,14252.29452,0.781,14.5
"74",2006,74.8,8.93,99,0,42,99,4.34,0.1,12724.39377,0.773,14.7
"75",2005,74.6,8.15,99,0,41.4,98,4.41,0.1,11371.93895,0,0
"76",2004,74.4,7.28,97,0,4.8,97,4.21,0.1,1352.8374,0,0
"77",2003,74.2,7.16,99,0,4.1,99,4.53,0.1,9739.82556,0,0
"78",2002,74,7.21,99,0,39.5,93,4.41,0.1,9386.716452,0,0
"79",2001,73.8,7.51,96,0,38.9,99,4.48,0.1,9358.154162,0,0
"80",2000,73.6,7.27,NA,0,38.2,96,4.13,0.1,9875.161736,0,0
"81",2015,76.3,NA,94,0,62.8,93,NA,0.1,13467.1236,0.826,17.3
"82",2014,76.2,7.93,94,1,62.2,92,4.79,0.1,12245.25645,0.825,17.3
"83",2013,76,8.28,94,0,61.6,99,4.99,0.1,12976.63642,0.823,17.3
"84",2012,75.9,8.35,91,2,61,99,5.2,0.1,12969.7712,0.822,17.2
"85",2011,75.7,8.11,91,3,6.4,93,5.89,0.1,12726.9836,0.816,17.1
"86",2010,75.5,8.15,94,17,59.8,95,6.55,0.1,1276.265,0.802,16.8
"87",2009,75.6,8.33,94,3,59.2,97,7.63,0.1,8161.36966,0.794,16.5
"88",2008,75.4,8.41,9,0,58.6,94,6.66,0.1,8953.359275,0.792,16.3
"89",2007,74.8,8.16,85,0,58,92,6.49,0.1,7193.61764,0.788,16.3
"90",2006,75.2,7.75,84,0,57.5,92,6.68,0.1,5878.76127,0.782,16.1
"91",2005,74.9,7.53,88,0,56.9,95,6.85,0.1,576.883829,0.78,16.3
"92",2004,74.7,7.63,81,0,56.3,91,6.84,0.1,4251.574348,0.775,16.3
"93",2003,74.1,7.62,73,0,55.7,95,8.22,0.1,333.4376,0.77,16.4
"94",2002,74.1,7.81,66,0,55.1,94,8.31,0.1,2579.193168,0.776,16.3
"95",2001,74,7.76,NA,0,54.6,85,9.38,0.1,717.694674,0.771,15.6
"96",2000,74.1,7.68,NA,6,54,88,9.21,0.1,7669.273916,0.764,15
"97",2015,74.8,NA,94,33,54.9,96,NA,0.1,369.654776,0.741,12.7
"98",2014,74.6,3.91,93,13,54.1,95,4.48,0.1,3994.712355,0.739,12.7
"99",2013,74.4,3.79,95,10,53.3,96,4.55,0.1,3843.591213,0.736,12.7
"100",2012,74.4,3.89,95,0,52.6,96,4.48,0.1,3684.8481,0.732,12.7
"101",2011,73.9,4.09,95,0,51.9,96,3.71,0.1,3526.978143,0.729,12.7
"102",2010,73.5,4.23,94,2,51.2,96,4.56,0.1,3218.381655,0.72,12.3
"103",2009,73.3,3.96,93,0,5.7,94,4.55,0.1,2993.832531,0.725,11.9
"104",2008,73.2,3.96,89,0,5.1,91,3.8,0.1,41.26997,0.721,12.3
"105",2007,73.5,3.99,85,1,49.7,9,4.31,0.1,3138.8873,0.707,11.7
"106",2006,72.9,4.01,78,137,49.2,87,4.58,0.1,2158.299,0.692,11.2
"107",2005,73,4.25,91,2281,48.8,92,5.25,0.1,1643.758397,0.679,10.9
"108",2004,73,3.81,91,1783,48.4,93,5.5,0.1,1191.96192,0.668,10.9
"109",2003,72.7,3.03,93,4,48.1,96,5.56,0.1,93.1661567,0.657,10.8
"110",2002,72.6,2.86,91,40,47.8,96,5.4,0.1,783.261699,0.645,10.8
"111",2001,72.6,2.86,69,69,47.4,97,5.94,0.1,694.435119,0.644,11.1
"112",2000,72,2.9,55,15,47.1,96,6.25,0.1,622.7427477,0.639,11.2
"113",2015,82.8,NA,93,74,66.6,93,NA,0.1,56554.3876,0.937,20.4
"114",2014,82.7,9.71,91,340,66.1,92,9.42,0.1,62214.6912,0.936,20.4
"115",2013,82.5,9.87,91,158,65.5,91,9.36,0.1,67792.3386,0.933,20.3
"116",2012,82.3,10.03,91,199,65,92,9.36,0.1,67677.63477,0.93,20.1
"117",2011,82,10.3,92,190,64.4,92,9.2,0.1,62245.129,0.927,19.8
"118",2010,81.9,10.52,92,70,63.9,92,9.2,0.1,51874.848,0.927,19.5
"119",2009,81.7,10.62,94,104,63.4,92,9.5,0.1,42742.99898,0.925,19.1
"120",2008,81.3,10.76,94,65,62.9,92,8.78,0.1,49664.6854,0.921,19.1
"121",2007,81.3,10.56,94,11,62.5,92,8.53,0.1,4991.98289,0.918,19
"122",2006,81.2,10.31,95,0,62,92,8.49,0.1,36118.28381,0.915,20.3
"123",2005,81,10.3,95,10,61.5,92,8.45,0.1,3416.71483,0.91,20.3
"124",2004,86,9.84,95,70,6.9,92,8.57,0.1,3472.37977,0.908,20.7
"125",2003,83,9.97,95,91,6.3,92,8.32,0.1,23465.38559,0.905,20.6
"126",2002,79.9,9.84,95,32,59.6,92,8.39,0.1,281.81763,0.902,20.1
"127",2001,79.9,9.53,94,141,59,91,8.18,0.1,19517.84168,0.899,20.5
"128",2000,79.5,10.17,NA,108,58.2,9,8.8,0.1,2169.921,0.897,20.4
"129",2015,81.5,NA,93,309,57.6,93,NA,0.1,43665.947,0.892,15.9
"130",2014,81.4,12.32,98,117,57.1,98,11.21,0.1,51322.63997,0.892,15.9
"131",2013,81.1,11.82,95,0,56.6,95,11.14,0.1,554.71532,0.887,15.7
"132",2012,88,12.26,92,36,56.1,92,11.17,0.1,48333.57273,0.884,15.7
"133",2011,88,12.04,89,68,55.7,89,1.94,0.1,51126.74139,0.88,15.7
"134",2010,84,12.1,86,52,55.2,86,11.17,0.1,46657.629,0.872,15.4
"135",2009,82,11.3,83,49,54.7,83,11.19,0.1,47654.18721,0.87,15.3
"136",2008,84,12,83,448,54.2,83,1.6,0.1,51386.37665,0.864,15.1
"137",2007,81,12.5,85,20,53.7,85,1.4,0.1,46586.6525,0.86,15.2
"138",2006,79.8,12.4,83,23,53.2,83,1.35,0.1,443.99361,0.854,15
"139",2005,79.4,12.4,86,9,52.7,86,1.53,0.1,38242.4252,0.848,14.9
"140",2004,79.3,12.1,83,15,52.2,83,1.56,0.1,36693.4262,0.841,14.7
"141",2003,78.8,12.2,83,90,51.7,84,1.48,0.1,3212.9355,0.837,14.7
"142",2002,78.7,12.5,81,0,51.2,82,1.27,0.1,26351.37568,0.847,16.1
"143",2001,78.6,12.4,44,0,5.6,83,1.12,0.1,24489.73553,0.837,15.5
"144",2000,78.1,13.2,33,0,5.1,71,1.6,0.1,24517.26745,0.833,15.4
"145",2015,72.7,NA,96,0,52.5,98,NA,0.1,55.31382,0.758,12.7
"146",2014,72.5,0.01,94,0,51.5,97,6.4,0.1,7891.299776,0.752,12.2
"147",2013,72.2,2.14,93,164,5.6,96,5.54,0.1,7875.756953,0.745,11.9
"148",2012,71.9,0.01,88,0,49.7,92,5.37,0.1,7496.335728,0.742,11.8
"149",2011,71.6,1.98,84,0,48.8,91,5.1,0.1,7189.691229,0.741,11.7
"150",2010,71.1,1.98,8,0,48,85,5.33,0.1,5842.85784,0.737,11.7
"151",2009,78,2.1,74,0,47.3,84,5.85,0.1,495.294791,0.728,11.6
"152",2008,73,1.18,68,5,46.6,85,4.37,0.1,5574.6382,0.719,11.6
"153",2007,73,1.02,62,0,45.9,81,5.1,0.1,3851.437869,0.708,11.6
"154",2006,69.2,0.85,52,222,45.3,8,6.17,0.1,2473.85776,0.682,10.7
"155",2005,68.4,0.73,49,1238,44.7,79,7.86,0.1,1578.4239,0.675,11.2
"156",2004,68.4,0.62,5,827,44.2,78,7.92,0.1,145.2163,0.668,11
"157",2003,67.8,0.55,51,1978,43.6,79,6.56,0.1,883.6439965,0.659,10.8
"158",2002,67.8,0.55,5,4353,43.1,8,4.47,0.1,763.73858,0.651,10.6
"159",2001,67.5,0.51,NA,574,42.6,77,4.48,0.1,73.6838434,0.642,10.4
"160",2000,66.6,0.65,NA,210,42.1,75,4.67,0.1,655.974326,0.636,10.1
"161",2015,76.1,NA,95,0,64.5,95,NA,0.1,NA,0.79,12.6
"162",2014,75.4,9.45,96,0,63.8,96,7.74,0.1,NA,0.789,12.6
"163",2013,74.8,9.42,97,0,63.2,97,7.5,0.1,NA,0.79,12.6
"164",2012,74.9,9.5,96,0,62.6,99,7.43,0.2,NA,0.789,12.6
"165",2011,75,9.34,95,0,62,97,7.63,0.1,NA,0.788,12.6
"166",2010,75,9.19,98,0,61.3,97,7.44,0.2,NA,0.788,12.6
"167",2009,74.6,9.29,95,0,6.7,97,7.43,0.1,NA,0.791,12.6
"168",2008,74.5,10.15,9,0,6.1,93,7.3,0.1,NA,0.791,12.6
"169",2007,74.4,10.75,93,0,59.4,95,7.8,0.1,NA,0.79,12.5
"170",2006,74.2,11.07,96,0,58.7,94,6.93,0.1,NA,0.788,12.4
"171",2005,74.1,10.49,93,0,58.1,93,5.95,0.1,NA,0.786,12.4
"172",2004,73.8,10.1,93,0,57.4,92,6.2,0.1,NA,0.784,12.3
"173",2003,73.2,10.68,88,0,56.7,93,5.62,0.1,NA,0.783,12.2
"174",2002,73.1,10.85,89,0,56,93,5.26,0.1,NA,0.781,12.1
"175",2001,72.9,11.64,21,0,55.2,98,5.15,0.2,NA,0.779,12.1
"176",2000,72.6,12.15,NA,0,54.4,91,5.21,0.1,NA,0,12
"177",2015,76.9,NA,98,0,63.6,98,NA,0.1,22688.87824,0.823,14.5
"178",2014,76.8,1.57,98,46,62.9,98,4.98,0.1,24983.3792,0.82,14.5
"179",2013,76.7,1.65,99,0,62.2,99,4.69,0.1,251.18329,0.815,14.5
"180",2012,76.5,1.7,99,0,61.5,99,4.37,0.1,23649.36661,0.812,14.5
"181",2011,76.1,1.66,99,0,6.8,99,3.4,0.1,2281.1242,0.812,14.4
"182",2010,76.1,1.93,99,0,6.1,99,3.64,0.1,2722.1389,0.81,14.4
"183",2009,76,1.95,98,3,59.3,97,3.79,0.1,19356.67236,0.814,14.4
"184",2008,75.8,2,97,2,58.5,97,3.17,0.1,2367.56535,0.815,14.4
"185",2007,75.6,2,97,7,57.6,97,3.8,0.1,2977.1153,0.813,14.4
"186",2006,75.5,2.1,98,3,56.8,98,3.8,0.1,1937.99549,0.81,14.2
"187",2005,75.3,2.05,98,4,56.1,98,3.16,0.1,17959.17854,0.806,14
"188",2004,75.2,2.16,98,11,55.6,98,3.37,0.1,15846.47641,0.803,13.9
"189",2003,75,2.16,98,12,55.2,97,3.74,0.1,14221.99259,0.798,13.7
"190",2002,74.9,1.99,98,8,55,98,3.89,0.1,1312.33457,0.796,13.5
"191",2001,74.7,1.95,99,5,54.8,99,3.8,0.1,12868.211,0.794,13.3
"192",2000,74.5,2.15,97,6,54.5,97,3.51,0.1,13636.34668,0.786,13.2
"193",2015,71.8,NA,97,240,18.3,97,NA,0.1,121.15812,0.575,10.2
"194",2014,71.4,0.01,97,289,17.7,97,2.82,0.1,184.56543,0.57,10
"195",2013,71,0.01,96,237,17,96,2.88,0.1,951.8894535,0.565,10
"196",2012,77,0.01,94,1986,16.4,94,3.8,0.1,856.342857,0.557,9.9
"197",2011,73,0.01,96,5625,15.8,96,3.16,0.1,835.789341,0.545,9.4
"198",2010,69.9,0.01,94,788,15.2,94,3.6,0.1,757.6717572,0.535,8.9
"199",2009,69.5,0.01,97,718,14.6,97,2.91,0.1,681.125368,0.523,8.4
"200",2008,69.1,0.01,96,2660,14,96,2.85,0.1,615.7775411,0.52,8.6
"201",2007,68.6,0.01,95,2924,13.5,96,2.8,0.1,541.651484,0.513,8.6
"202",2006,68.2,0.01,86,6192,13,95,2.8,0.1,494.51466,0.506,8.4
"203",2005,67.8,0.01,45,25934,12.5,94,2.68,0.1,484.155471,0.499,8.2
"204",2004,67.3,0.01,11,9743,12,88,2.62,0.1,46.7579167,0.491,8.1
"205",2003,66.8,0.01,5,4067,11.6,9,2.51,0.1,432.7388972,0.484,7.9
"206",2002,66.3,0.01,NA,3484,11.2,83,2.59,0.1,4.6135745,0.476,7.7
"207",2001,65.8,0.01,NA,4414,1.8,85,2.47,0.1,42.5981152,0.468,7.5
"208",2000,65.3,0.01,NA,5098,1.4,83,2.33,0.1,45.63371,0.459,7.3
"209",2015,75.5,NA,97,0,54.5,97,NA,0.1,15557.8381,0.794,15.3
"210",2014,75.4,8.82,94,0,53.7,95,7.47,0.1,15359.66971,0.793,15.3
"211",2013,75.2,8.74,91,0,53,91,7.57,0.1,15472.7814,0.792,15.3
"212",2012,75.1,8.61,87,0,52.2,88,7.43,0.1,15384.8749,0.785,15.3
"213",2011,74.9,8.51,91,0,51.4,91,6.67,0.1,15534.1574,0.78,15.5
"214",2010,74.7,8.41,86,0,5.7,9,6.17,0.1,1595.91232,0.781,15.8
"215",2009,74.6,8.46,93,0,49.9,93,6.21,0.1,16523.32388,0.779,15.5
"216",2008,74.4,8.95,85,0,49.2,85,6.1,0.1,1657.3228,0.775,15.3
"217",2007,74.2,8.47,93,0,48.4,93,5.64,0.1,16462.48556,0.771,15
"218",2006,74.1,8.39,84,0,47.7,85,5.27,0.1,15646.5591,0.766,14.8
"219",2005,73.9,8.01,92,0,46.9,91,5.38,0.1,14223.86576,0.761,14.6
"220",2004,73.8,7.68,93,0,46.2,93,5.71,0.2,12868.8639,0.757,14.4
"221",2003,73.7,7.65,91,0,45.4,9,5.82,0.4,1228.5447,0.753,14.2
"222",2002,73.5,7.59,66,0,44.6,86,5.76,0.8,11675.39395,0.749,14
"223",2001,73.4,7.38,18,0,43.8,93,5.47,0.7,11513.87189,0.75,14
"224",2000,73.3,7.43,NA,0,43,86,5.16,0.9,11568.1111,0.741,14
"225",2015,72.3,NA,99,2,62.3,99,NA,0.1,5949.11677,0.798,15.6
"226",2014,72,13.94,97,64,61.7,97,5.69,0.1,8318.429294,0.796,15.7
"227",2013,71.7,14.66,98,16,61.1,98,6.7,0.1,7978.825443,0.796,15.7
"228",2012,71.9,16.35,97,10,6.5,98,5.1,0.1,694.243915,0.793,15.6
"229",2011,72,17.31,98,50,59.9,98,4.92,0.1,6519.71753,0.787,15.5
"230",2010,73,14.44,96,1,59.3,99,5.55,0.1,63.38877,0.78,15.5
"231",2009,70,14.09,98,0,58.7,98,6.9,0.1,5176.172649,0.771,15.4
"232",2008,70,14.67,98,0,58.2,98,5.95,0.1,6376.183153,0.755,15.1
"233",2007,69.8,14.22,91,1,57.7,9,6.44,0.1,4735.484827,0.739,14.9
"234",2006,68.9,12.6,98,149,57.2,97,6.34,0.1,3848.215966,0.723,14.6
"235",2005,68.1,11.01,99,1,56.7,98,6.89,0.1,3126.71767,0.713,14.4
"236",2004,68.2,12.05,99,2,56.2,99,6.59,0.1,2378.33927,0.703,14.1
"237",2003,67.7,11.17,56,21,55.8,53,6.59,0.1,1819.525644,0.695,13.9
"238",2002,67.2,12.23,99,14,55.3,99,6.47,0.1,1479.383142,0.687,13.6
"239",2001,67.7,10.74,93,45,54.9,99,6.62,0.1,1244.373185,0.681,13.3
"240",2000,68,12.98,7,21,54.4,99,6.13,0.1,1276.28834,0.675,13.1
"241",2015,81.1,NA,98,47,63.7,99,NA,0.1,4356.875,0.895,16.6
"242",2014,89,12.6,98,70,63.4,99,1.59,0.1,47439.39684,0.89,16.3
"243",2013,87,11.77,98,39,63,99,1.57,0.1,4651.38647,0.889,16.3
"244",2012,83,10.08,98,109,62.6,99,1.54,0.1,4474.5717,0.886,16.2
"245",2011,83,10.11,97,576,62.3,98,1.42,0.1,4772.77415,0.884,16.1
"246",2010,80,10.22,97,40,61.9,98,1.17,0.1,4438.23741,0.878,15.9
"247",2009,79.8,10.05,97,33,61.6,98,1.39,0.1,4488.5615,0.876,15.8
"248",2008,79.5,10.47,98,98,61.3,99,9.6,0.1,48424.58927,0.874,15.8
"249",2007,79.5,10.25,94,64,6.9,99,9.25,0.1,4443.83131,0.871,15.8
"250",2006,79.4,10.98,94,15,6.6,99,9.17,0.1,38852.3613,0.865,15.7
"251",2005,78.9,12.27,77,26,6.2,97,9.24,0.1,36967.28292,0.861,15.7
"252",2004,78.8,12.05,64,61,59.8,96,9.32,0.1,35589.71295,0.88,18.8
"253",2003,78.3,11.28,64,44,59.4,96,9.3,0.1,3743.95693,0.878,18.6
"254",2002,78,11.29,6,0,59,96,8.46,0.1,2552.3328,0.875,18.8
"255",2001,78,11.01,6,83,58.5,96,8.29,0.1,23121.56635,0.873,18.2
"256",2000,77.6,11.21,6,0,58.1,96,8.12,0.1,2327.4591,0.869,18
"257",2015,71,NA,94,0,5.9,94,NA,0.2,4849.997495,0.706,12.8
"258",2014,70,6.58,95,0,5.1,95,5.79,0.2,4852.223666,0.705,12.8
"259",2013,69.8,6.56,95,0,49.3,95,5.79,0.2,4688.538443,0.706,12.9
"260",2012,69.4,6.66,98,0,48.5,98,5.45,0.1,4673.63848,0.702,12.5
"261",2011,69.4,6.64,95,0,47.8,95,5.61,0.5,4516.24675,0.7,12.4
"262",2010,69.5,6.76,96,0,47,96,5.85,0.2,4344.15177,0.7,12.4
"263",2009,69.5,6.85,97,0,46.3,98,5.81,0.3,4258.788611,0.7,12.7
"264",2008,69.6,7.22,94,0,45.7,94,5.9,0.1,447.22796,0.699,12.8
"265",2007,69.6,7.24,96,0,45,97,4.76,0.6,4324.876427,0.7,12.8
"266",2006,69.4,6.48,98,0,44.4,98,4.4,0.6,4187.3783,0.692,12.3
"267",2005,69,6.25,96,0,43.8,96,4.45,0.8,3933.332215,0.695,12.8
"268",2004,68.7,6.2,97,0,43.2,97,4.39,0.8,3831.53819,0.691,12.5
"269",2003,68.4,5.67,96,0,42.6,95,4.53,1.5,3679.99523,0.684,12.2
"270",2002,68.5,4.99,97,0,42,93,4.38,0.1,3556.561825,0.678,11.9
"271",2001,68.2,4.9,96,0,41.4,96,4.5,0.4,3419.275719,0.677,11.8
"272",2000,68.3,4.79,76,0,4.8,91,3.98,0.3,3364.423711,0.668,11.7
"273",2015,60,NA,82,55,25.7,78,NA,1,783.94791,0.481,10.7
"274",2014,59.7,0.01,78,786,25.2,74,4.59,1.1,943.686575,0.475,10.7
"275",2013,59.5,0.01,77,637,24.6,73,4.59,1.2,915.2674586,0.466,10.3
"276",2012,59.3,0.01,8,288,24.1,8,4.86,1.3,837.9551,0.458,10
"277",2011,59.1,1.4,75,426,23.5,77,5.37,1.4,825.9427854,0.454,9.8
"278",2010,58.7,1.33,76,392,23,77,4.95,1.4,757.695974,0.451,9.5
"279",2009,58.4,1.16,79,1461,22.5,8,4.46,1.6,793.45243,0.448,9.3
"280",2008,57.6,1.28,75,928,22,77,4.2,1.8,82.1513498,0.444,9.1
"281",2007,57.1,1.12,82,341,21.5,82,4.55,2,76.535419,0.438,8.9
"282",2006,56.8,1.19,74,176,21,76,4.75,2,625.8392,0.434,8.7
"283",2005,56.5,1.13,7,210,2.5,73,4.73,2.1,61.799977,0.43,8.5
"284",2004,56.1,1.15,75,262,2.1,74,4.56,2.1,583.493514,0.423,8.1
"285",2003,55.8,1.35,73,217,19.7,75,4.63,2.1,519.2922847,0.416,7.7
"286",2002,55.6,1.23,15,1588,19.2,76,4.27,2.1,418.6985763,0.407,7.3
"287",2001,55.5,1.29,NA,5859,18.8,77,4.69,2.1,378.73654,0.395,6.6
"288",2000,55.4,1.34,NA,4244,18.4,78,4.34,2,374.1923942,0.389,6.4
"289",2015,69.8,NA,99,11,24.5,98,NA,0.5,2613.645177,0.604,12.5
"290",2014,69.4,0.01,99,0,23.6,98,3.57,0.5,2522.7968,0.596,12.5
"291",2013,69.1,0.01,97,0,22.7,97,3.83,0.6,235.882889,0.589,12.6
"292",2012,68.7,0.01,97,1,21.9,97,3.7,0.6,2422.816,0.581,12.3
"293",2011,68.3,0.23,95,10,21.1,95,4.73,0.5,2458.45976,0.572,11.9
"294",2010,67.9,0.28,91,21,2.3,92,5.17,0.5,2178.921383,0,11.4
"295",2009,67.4,0.17,93,6,19.5,93,6.3,0.4,177.234497,0,10.9
"296",2008,67,0.21,96,7,18.8,96,6.58,0.4,1795.18137,0,10.5
"297",2007,66.5,0.16,95,11,18,93,5.88,0.3,1741.142552,0,10.1
"298",2006,65.8,0.29,95,2,17.4,96,5.27,0.3,1335.45696,0,9.6
"299",2005,65,0.73,95,11,16.7,95,5.28,0.3,1247.61392,0,9.2
"300",2004,64.2,0.96,89,3,16.1,9,4.41,0.3,197.45788,0,8.8
"301",2003,63.3,0.52,95,0,15.5,96,4.9,0.2,997.7417141,0,8.4
"302",2002,62.5,0.29,83,27,14.9,89,7.75,0.1,885.6382245,0,8
"303",2001,61.7,0.14,89,756,14.4,88,5.91,0.1,87.9387673,0,7.6
"304",2000,62,0.17,98,418,13.9,98,6.91,0.1,765.8632358,0,7.3
"305",2015,77,NA,99,0,52.6,99,NA,0.1,NA,0.671,13.8
"306",2014,74,3.62,98,0,51.9,99,6.33,0.1,NA,0.666,13.8
"307",2013,71,3.78,94,0,51.2,95,5.96,0.1,NA,0.661,13.8
"308",2012,69.8,3.89,93,0,5.6,93,5.56,0.1,NA,0.655,13.8
"309",2011,69.3,3.93,95,0,49.9,95,5.49,0.2,NA,0.649,13.8
